"","treated_unit","V2","V3","V4","V6","V7","V8","V9","V10","welcome","disclosure","Introcommu","oftenmbta","PoliID","ideology","party","obama","X2010","election","intoviews","numberim","Remain","Englishlan","raceintro","Asians","AfAms","Hispanics","MiddleEast","IntroDemo","Illegal_ma","illegal_us","age","residency","Friends","race_1","race_2","race_3","race_4","race_5","hispanicID","gender","education","citizen","income","Community","Crime","Diverse","wealthcomm","Comments","End","assignment","line","station","train","time","treatment","white","residency.new","liberal","conservative","democract","republican","obama.approve","obama.disapprove","ride.everyday","voted.2010","obama.voter","romney.voter","college","us.born","hispanic.new","income.new","male","missing"
"187","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"67.208.191.2",0,"2012-07-18 05:50:19","2012-07-18 05:56:39",1,1,1,1,4,1,4,3,4,5,7,1,5,2,1,1,1,1,1,1,1,75,85,36,3,2,NA,NA,NA,1,NA,2,1,5,1,8,1,4,3,3,"",1,"T2a","Franklin","Norfolk","704","6:19",1,1,7.5,0,1,0,1,0,1,1,1,0,1,1,1,0,250000,1,0
"188","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"98.216.219.174",0,"2012-07-19 18:10:21","2012-07-19 18:20:09",1,1,1,1,4,1,2,1,3,5,2,1,3,3,1,1,1,1,1,1,1,10,10,39,1,6,NA,NA,NA,1,NA,2,2,4,1,8,1,2,4,2,"",1,"T2b","Franklin","Norfolk","704","6:19",1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,250000,0,0
"189","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"146.243.153.80",0,"2012-07-25 06:23:03","2012-07-25 06:28:45",1,1,1,1,4,1,2,1,1,5,1,1,2,2,3,1,1,1,1,1,1,1,1,32,4,2,NA,NA,NA,1,NA,2,2,5,1,5,1,2,3,4,"",1,"t2c","Franklin","Norfolk","704","6:19",1,1,12.5,1,0,1,0,1,0,1,1,1,0,1,1,0,87500,0,1
"190","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"98.216.57.16",0,"2012-07-20 03:53:27","2012-07-20 04:02:34",1,1,1,1,1,1,5,2,5,5,7,1,2,5,1,1,1,1,1,1,1,8,25,44,4,5,NA,NA,NA,1,NA,2,2,6,1,6,1,1,3,3,"",1,"T2a","Franklin","Norfolk","704","6:19",1,1,12.5,0,1,0,0,0,1,0,1,0,1,1,1,0,115000,0,1
"191","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"192.223.243.6",0,"2012-07-23 09:57:22","2012-07-23 10:03:27",1,1,1,1,4,1,3,2,4,5,7,1,3,4,3,1,1,1,1,1,1,1,1,37,5,15,NA,NA,NA,NA,1,1,1,5,1,8,1,3,3,3,"",1,"t2c","Franklin","Norfolk","704","6:19",1,0,8.03370786516854,0,0,0,0,0,1,1,1,0,1,1,1,1,250000,1,1
"192","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"143.115.159.54",0,"2012-07-19 14:01:04","2012-07-19 14:05:24",1,1,1,1,4,1,5,3,5,5,7,1,3,5,3,1,1,1,1,5,1,2,5,16,2,0,NA,NA,NA,1,NA,2,1,6,1,9,1,1,3,3,"there is a gap in your wage bands",1,"T2b","Franklin","Norfolk","704","6:19",1,1,3.5,0,1,0,1,0,1,1,1,0,1,1,1,0,300000,1,0
"193","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"98.118.88.233",0,"2012-07-29 19:21:30","2012-07-29 19:31:46",1,1,1,1,4,1,4,4,5,5,3,1,3,4,1,1,1,1,1,1,1,15,50,18,2,0,NA,NA,NA,1,NA,2,2,5,1,8,1,3,3,4,"",1,"t2c","Franklin","Norfolk","704","6:19",1,1,3.5,0,1,0,0,0,1,1,1,0,0,1,1,0,250000,0,1
"194","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"63.125.98.14",0,"2012-07-18 11:38:21","2012-07-18 11:54:14",1,1,1,1,4,1,2,4,2,5,2,1,3,2,4,1,1,1,1,1,1,5,5,33,3,5,NA,NA,NA,1,1,2,1,5,2,5,1,3,3,3,"Great survey",1,"T2a","Franklin","Norfolk","704","6:19",1,1,7.5,1,0,0,0,1,0,1,1,1,0,1,0,0,87500,1,0
"195","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"72.74.242.82",0,"2012-07-19 06:23:58","2012-07-19 06:29:11",1,1,1,1,4,1,4,4,5,4,5,1,3,5,5,1,1,1,1,1,1,10,20,6,2,0,NA,NA,NA,1,NA,2,1,5,1,7,1,3,3,3,"",1,"T2a","Franklin","Norfolk","704","6:19",1,1,3.5,0,1,0,0,0,1,1,0,0,0,1,1,0,135000,1,0
"196","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"98.216.218.182",0,"2012-07-18 18:43:30","2012-07-18 18:51:59",1,1,1,1,3,1,4,4,5,1,7,1,3,3,3,1,1,1,1,1,1,1,2,23,2,0,1,NA,NA,NA,NA,2,1,6,2,9,1,4,4,3,"",1,"T2a","Franklin","Norfolk","704","6:19",1,0,3.5,0,1,0,0,0,1,0,0,0,1,1,0,0,300000,1,1
